Category,EndpointUri,Method,ITGMethod,Function,Example,Complete,Notes
Attachments,/:resource_type/:resource_id/relationships/attachments,POST,Create,New-ITGlueAttachment,Invoke-ITGlueAttachment,YES,
Attachments,/:resource_type/:resource_id/relationships/attachments/:id,PATCH,Update,Set-ITGlueAttachment,Invoke-ITGlueAttachment,YES,
Attachments,/:resource_type/:resource_id/relationships/attachments,DELETE,Bulk_destroy,Remove-ITGlueAttachment,Invoke-ITGlueAttachment,YES,
ConfigurationInterfaces,/configurations/:configuration_id/relationships/configuration_interfaces,GET,Index,Get-ITGlueConfigurationInterface,Invoke-ExampleITGlueConfigurationInterface,YES,
ConfigurationInterfaces,/configuration_interfaces/:id,GET,Show,Get-ITGlueConfigurationInterface,Invoke-ExampleITGlueConfigurationInterface,YES,
ConfigurationInterfaces,/configurations/:configuration_id/relationships/configuration_interfaces/:id,GET,Show,Get-ITGlueConfigurationInterface,Invoke-ExampleITGlueConfigurationInterface,YES,
ConfigurationInterfaces,/configuration_interfaces,POST,Create,New-ITGlueConfigurationInterface,Invoke-ExampleITGlueConfigurationInterface,YES,
ConfigurationInterfaces,/configurations/:configuration_id/relationships/configuration_interfaces,POST,Create,New-ITGlueConfigurationInterface,Invoke-ExampleITGlueConfigurationInterface,YES,
ConfigurationInterfaces,/configuration_interfaces/:id,PATCH,Update,Set-ITGlueConfigurationInterface,Invoke-ExampleITGlueConfigurationInterface,YES,
ConfigurationInterfaces,/configurations/:configuration_id/relationships/configuration_interfaces/:id,PATCH,Update,Set-ITGlueConfigurationInterface,Invoke-ExampleITGlueConfigurationInterface,YES,
ConfigurationInterfaces,/configuration_interfaces,PATCH,Bulk_update,Set-ITGlueConfigurationInterface,Invoke-ExampleITGlueConfigurationInterface,YES,
ConfigurationStatuses,/configuration_statuses,GET,Index,Get-ITGlueConfigurationStatus,Invoke-ExampleITGlueConfigurationStatus,YES,
ConfigurationStatuses,/configuration_statuses/:id,GET,Show,Get-ITGlueConfigurationStatus,Invoke-ExampleITGlueConfigurationStatus,YES,
ConfigurationStatuses,/configuration_statuses,POST,Create,New-ITGlueConfigurationStatus,Invoke-ExampleITGlueConfigurationStatus,YES,
ConfigurationStatuses,/configuration_statuses/:id,PATCH,Update,Set-ITGlueConfigurationStatus,Invoke-ExampleITGlueConfigurationStatus,YES,
ConfigurationTypes,/configuration_types,GET,Index,Get-ITGlueConfigurationType,Invoke-ExampleITGlueConfigurationType,YES,
ConfigurationTypes,/configuration_types/:id,GET,Show,Get-ITGlueConfigurationType,Invoke-ExampleITGlueConfigurationType,YES,
ConfigurationTypes,/configuration_types,POST,Create,New-ITGlueConfigurationType,Invoke-ExampleITGlueConfigurationType,YES,
ConfigurationTypes,/configuration_types/:id,PATCH,Update,Set-ITGlueConfigurationType,Invoke-ExampleITGlueConfigurationType,YES,
Configurations,/configurations,GET,Index,Get-ITGlueConfiguration,Invoke-ExampleITGlueConfiguration,YES,
Configurations,/organizations/:organization_id/relationships/configurations,GET,Index,Get-ITGlueConfiguration,Invoke-ExampleITGlueConfiguration,YES,
Configurations,/configurations/:id,GET,Show,Get-ITGlueConfiguration,Invoke-ExampleITGlueConfiguration,YES,
Configurations,/organizations/:organization_id/relationships/configurations/:id,GET,Show,Get-ITGlueConfiguration,Invoke-ExampleITGlueConfiguration,YES,
Configurations,/configurations,POST,Create,New-ITGlueConfiguration,Invoke-ExampleITGlueConfiguration,YES,
Configurations,/organizations/:organization_id/relationships/configurations,POST,Create,New-ITGlueConfiguration,Invoke-ExampleITGlueConfiguration,YES,
Configurations,/configurations/:id,PATCH,Update,Set-ITGlueConfiguration,Invoke-ExampleITGlueConfiguration,YES,
Configurations,/organizations/:organization_id/relationships/configurations/:id,PATCH,PATCH,Set-ITGlueConfiguration,Invoke-ExampleITGlueConfiguration,YES,
Configurations,/configurations,PATCH,Bulk_update,Set-ITGlueConfiguration,Invoke-ExampleITGlueConfiguration,YES,
Configurations,/configurations,DELETE,Bulk_destroy,Remove-ITGlueConfiguration,Invoke-ExampleITGlueConfiguration,YES,
Configurations,/organizations/:organization_id/relationships/configurations,DELETE,Bulk_destroy,Remove-ITGlueConfiguration,Invoke-ExampleITGlueConfiguration,YES,
ContactTypes,/contact_types,GET,Index,Get-ITGlueContactType,Invoke-ExampleITGlueContactType,YES,
ContactTypes,/contact_types/:id,GET,Index,Get-ITGlueContactType,Invoke-ExampleITGlueContactType,YES,
ContactTypes,/contact_types,POST,Create,New-ITGlueContactType,Invoke-ExampleITGlueContactType,YES,
ContactTypes,/contact_types/:id,PATCH,Update,Set-ITGlueContactType,Invoke-ExampleITGlueContactType,YES,
Contacts,/contacts,GET,Index,Get-ITGlueContact,Invoke-ExampleITGlueContact,YES,
Contacts,/organizations/:organization_id/relationships/contacts,GET,Index,Get-ITGlueContact,Invoke-ExampleITGlueContact,YES,A users important field in ITGlue can sometimes be null which will cause this parameter to return incomplete information
Contacts,/contacts/:id,GET,Show,Get-ITGlueContact,Invoke-ExampleITGlueContact,YES,
Contacts,/organizations/:organization_id/relationships/contacts/:id,GET,Show,Get-ITGlueContact,Invoke-ExampleITGlueContact,YES,
Contacts,/contacts,POST,Create,New-ITGlueContact,Invoke-ExampleITGlueContact,YES,
Contacts,/organizations/:organization_id/relationships/contacts,POST,Create,New-ITGlueContact,Invoke-ExampleITGlueContact,YES,
Contacts,/contacts/:id,PATCH,Update,Set-ITGlueContact,Invoke-ExampleITGlueContact,YES,
Contacts,/organizations/:organization_id/relationships/contacts/:id,PATCH,Update,Set-ITGlueContact,Invoke-ExampleITGlueContact,YES,
Contacts,/contacts,PATCH,Bulk_update,Set-ITGlueContact,Invoke-ExampleITGlueContact,YES,
Contacts,/contacts,DELETE,Bulk_destroy,Remove-ITGlueContact,Invoke-ExampleITGlueContact,YES,
Contacts,/organizations/:organization_id/relationships/contacts,DELETE,Bulk_destroy,Remove-ITGlueContact,Invoke-ExampleITGlueContact,YES,
Countries,/countries,GET,Index,Get-ITGlueCountry,Invoke-ExampleITGlueCountry,YES,
Countries,/countries/:id,GET,Show,Get-ITGlueCountry,Invoke-ExampleITGlueCountry,YES,
Documents,/documents/:id,PATCH,Update,Set-ITGlueDocument,Invoke-ExampleITGlueDocument,YES,
Documents,/organizations/:organization_id/relationships/documents/:id,PATCH,Update,Set-ITGlueDocument,Invoke-ExampleITGlueDocument,YES,
Documents,/documents,PATCH,Bulk_update,Set-ITGlueDocument,Invoke-ExampleITGlueDocument,YES,
Domains,/domains,GET,Index,Get-ITGlueDomain,Invoke-ExampleITGlueDomain,YES,screenshot appear to always be blank
Domains,/organizations/:organization_id/relationships/domains,GET,Index,Get-ITGlueDomain,Invoke-ExampleITGlueDomain,YES,screenshot appear to always be blank
Expirations,/expirations,GET,Index,Get-ITGlueExpiration,Invoke-ExampleITGlueExpiration,YES,
Expirations,/organizations/:organization_id/relationships/expirations,GET,Index,Get-ITGlueExpiration,Invoke-ExampleITGlueExpiration,YES,
Expirations,/expirations/:id,GET,Show,Get-ITGlueExpiration,Invoke-ExampleITGlueExpiration,YES,
Expirations,/organizations/:organization_id/relationships/expirations/:id,GET,Show,Get-ITGlueExpiration,Invoke-ExampleITGlueExpiration,YES,
Exports,/exports,GET,Index,Get-ITGlueExport,N/A,YES,
Exports,/exports/:id,GET,Show,Get-ITGlueExport,N/A,YES,
Exports,/exports,POST,Create,New-ITGlueExport,N/A,YES,
Exports,/exports/:id,DELETE,Destroy,Remove-ITGlueExport,N/A,YES,
FlexibleAssetFields,/flexible_asset_types/:flexible_asset_type_id/relationships/flexible_asset_fields,GET,Index,Get-ITGlueFlexibleAssetField,Invoke-ExampleITGlueFlexibleAssetField,YES,
FlexibleAssetFields,/flexible_asset_fields/:id,GET,Show,Get-ITGlueFlexibleAssetField,Invoke-ExampleITGlueFlexibleAssetField,YES,
FlexibleAssetFields,/flexible_asset_types/:flexible_asset_type_id/relationships/flexible_asset_fields/:id,GET,Show,Get-ITGlueFlexibleAssetField,Invoke-ExampleITGlueFlexibleAssetField,YES,
FlexibleAssetFields,/flexible_asset_fields,POST,Create,New-ITGlueFlexibleAssetField,Invoke-ExampleITGlueFlexibleAssetField,YES,
FlexibleAssetFields,/flexible_asset_types/:flexible_asset_type_id/relationships/flexible_asset_fields,POST,Create,New-ITGlueFlexibleAssetField,Invoke-ExampleITGlueFlexibleAssetField,YES,
FlexibleAssetFields,/flexible_asset_fields/:id,PATCH,Update,Set-ITGlueFlexibleAssetField,Invoke-ExampleITGlueFlexibleAssetField,YES,
FlexibleAssetFields,/flexible_asset_types/:flexible_asset_type_id/relationships/flexible_asset_fields/:id,PATCH,Update,Set-ITGlueFlexibleAssetField,Invoke-ExampleITGlueFlexibleAssetField,YES,
FlexibleAssetFields,/flexible_asset_fields,PATCH,Bulk_update,Set-ITGlueFlexibleAssetField,Invoke-ExampleITGlueFlexibleAssetField,YES,
FlexibleAssetFields,/flexible_asset_fields/:id,DELETE,Destroy,Remove-ITGlueFlexibleAssetField,Invoke-ExampleITGlueFlexibleAssetField,YES,
FlexibleAssetFields,/flexible_asset_types/:flexible_asset_type_id/relationships/flexible_asset_fields/:id,DELETE,Destroy,Remove-ITGlueFlexibleAssetField,Invoke-ExampleITGlueFlexibleAssetField,YES,
FlexibleAssetTypes,/flexible_asset_types,GET,Index,Get-ITGlueFlexibleAssetType,Invoke-ExampleITGlueFlexibleAssetType,YES,
FlexibleAssetTypes,/flexible_asset_types/:id,GET,Show,Get-ITGlueFlexibleAssetType,Invoke-ExampleITGlueFlexibleAssetType,YES,
FlexibleAssetTypes,/flexible_asset_types,POST,Create,New-ITGlueFlexibleAssetType,Invoke-ExampleITGlueFlexibleAssetType,YES,
FlexibleAssetTypes,/flexible_asset_types/:id,PATCH,Update,Set-ITGlueFlexibleAssetType,Invoke-ExampleITGlueFlexibleAssetType,YES,
FlexibleAssets,/flexible_assets,GET,Index,Get-ITGlueFlexibleAsset,Invoke-ExampleITGlueFlexibleAsset,YES,
FlexibleAssets,/flexible_assets/:id,GET,Show,Get-ITGlueFlexibleAsset,Invoke-ExampleITGlueFlexibleAsset,YES,
FlexibleAssets,/flexible_assets,POST,Create,New-ITGlueFlexibleAsset,Invoke-ExampleITGlueFlexibleAsset,YES,
FlexibleAssets,/organizations/:organization_id/relationships/flexible_assets,POST,Create,New-ITGlueFlexibleAsset,Invoke-ExampleITGlueFlexibleAsset,YES,
FlexibleAssets,/flexible_assets/:id,PATCH,Update,Set-ITGlueFlexibleAsset,Invoke-ExampleITGlueFlexibleAsset,YES,
FlexibleAssets,/flexible_assets,PATCH,Update,Set-ITGlueFlexibleAsset,Invoke-ExampleITGlueFlexibleAsset,YES,
FlexibleAssets,/flexible_assets/:id,DELETE,Destroy,Remove-ITGlueFlexibleAsset,Invoke-ExampleITGlueFlexibleAsset,YES,
FlexibleAssets,/flexible_assets,DELETE,Destroy,Remove-ITGlueFlexibleAsset,Invoke-ExampleITGlueFlexibleAsset,YES,
Groups,/groups,GET,Index,Get-ITGlueGroup,Invoke-ExampleITGlueGroup,YES,Added include parameter
Groups,/groups/:id,GET,Show,Get-ITGlueGroup,Invoke-ExampleITGlueGroup,YES,Added include parameter
Internal,,POST,,Add-ITGlueAPIKey,N/A,YES,
Internal,,POST,,Add-ITGlueBaseURI,N/A,YES,
Internal,,PUT,,ConvertTo-ITGlueQueryString,N/A,YES,
Internal,,PATCH,,Export-ITGlueModuleSetting,N/A,YES,
Internal,,GET,,Get-ITGlueAPIKey,N/A,YES,
Internal,,GET,,Get-ITGlueBaseURI,N/A,YES,
Internal,,GET,,Get-ITGlueModuleSetting,N/A,YES,
Internal,,GET,,Import-ITGlueModuleSetting,N/A,YES,
Internal,,GET,,Invoke-ITGlueRequest,N/A,YES,
Internal,,DELETE,,Remove-ITGlueAPIKey,N/A,YES,
Internal,,DELETE,,Remove-ITGlueBaseURI,N/A,YES,
Internal,,DELETE,,Remove-ITGlueModuleSetting,N/A,YES,
Internal,,GET,,Test-ITGlueAPIKey,N/A,YES,
Locations,/locations,GET,Index,Get-ITGlueLocation,Invoke-ExampleITGlueLocation,KINDA,The resourcese uri with OrganiztionID & ID does appear to function correctly
Locations,/organizations/:organization_id/relationships/locations,GET,Index,Get-ITGlueLocation,Invoke-ExampleITGlueLocation,KINDA,The resourcese uri with OrganiztionID & ID does appear to function correctly
Locations,/locations/:id,GET,Show,Get-ITGlueLocation,Invoke-ExampleITGlueLocation,KINDA,The resourcese uri with OrganiztionID & ID does appear to function correctly
Locations,/organizations/:organization_id/relationships/locations/:id,GET,Show,Get-ITGlueLocation,Invoke-ExampleITGlueLocation,KINDA,The resourcese uri with OrganiztionID & ID does appear to function correctly
Locations,/locations,POST,Create,New-ITGlueLocation,Invoke-ExampleITGlueLocation,KINDA,The resourcese uri with OrganiztionID & ID does appear to function correctly
Locations,/organizations/:organization_id/relationships/locations,POST,Create,New-ITGlueLocation,Invoke-ExampleITGlueLocation,KINDA,The resourcese uri with OrganiztionID & ID does appear to function correctly
Locations,/locations/:id,PATCH,Update,Set-ITGlueLocation,Invoke-ExampleITGlueLocation,KINDA,The resourcese uri with OrganiztionID & ID does appear to function correctly
Locations,/organizations/:organization_id/relationships/locations/:id,PATCH,Update,Set-ITGlueLocation,Invoke-ExampleITGlueLocation,KINDA,The resourcese uri with OrganiztionID & ID does appear to function correctly
Locations,/locations,PATCH,Bulk_update,Set-ITGlueLocation,Invoke-ExampleITGlueLocation,KINDA,The resourcese uri with OrganiztionID & ID does appear to function correctly
Locations,/locations,DELETE,Bulk_destroy,Remove-ITGlueLocation,Invoke-ExampleITGlueLocation,KINDA,The resourcese uri with OrganiztionID & ID does appear to function correctly
Locations,/organizations/:organization_id/relationships/locations/:id,DELETE,Bulk_destroy,Remove-ITGlueLocation,Invoke-ExampleITGlueLocation,KINDA,The resourcese uri with OrganiztionID & ID does appear to function correctly
Logs,/logs,GET,Index,Get-ITGlueLog,Invoke-ExampleITGlueLog,YES,Can only pull the last 30 days of logs
Manufacturers,/manufacturers,GET,Index,Get-ITGlueManufacturer,Invoke-ExampleITGlueManufacturer,YES,
Manufacturers,/manufacturers/:id,GET,Show,Get-ITGlueManufacturer,Invoke-ExampleITGlueManufacturer,YES,
Manufacturers,/manufacturers,POST,Create,New-ITGlueManufacturer,Invoke-ExampleITGlueManufacturer,YES,
Manufacturers,/manufacturers/:id,PATCH,Update,Set-ITGlueManufacturer,Invoke-ExampleITGlueManufacturer,YES,
Models,/models,GET,Index,Get-ITGlueModel,Invoke-ExampleITGlueModel,YES,
Models,/manufacturers/:manufacturer_id/relationships/models,GET,Index,Get-ITGlueModel,Invoke-ExampleITGlueModel,YES,
Models,/models/:id,GET,Show,Get-ITGlueModel,Invoke-ExampleITGlueModel,YES,
Models,/manufacturers/:manufacturer_id/relationships/models/:id,GET,Show,Get-ITGlueModel,Invoke-ExampleITGlueModel,YES,
Models,/models,POST,Create,New-ITGlueModel,Invoke-ExampleITGlueModel,YES,
Models,/manufacturers/:manufacturer_id/relationships/models,POST,Create,New-ITGlueModel,Invoke-ExampleITGlueModel,YES,
Models,/models/:id,PATCH,Update,Set-ITGlueModel,Invoke-ExampleITGlueModel,YES,
Models,/manufacturers/:manufacturer_id/relationships/models/:id,PATCH,Update,Set-ITGlueModel,Invoke-ExampleITGlueModel,YES,
Models,/models,PATCH,Bulk_update,Set-ITGlueModel,Invoke-ExampleITGlueModel,YES,
OperatingSystems,/operating_systems,GET,Index,Get-ITGlueOperatingSystem,Invoke-ExampleITGlueOperatingSystem,YES,
OperatingSystems,/operating_systems/:id,GET,Show,Get-ITGlueOperatingSystem,Invoke-ExampleITGlueOperatingSystem,YES,
OrganizationStatuses,/organization_statuses,GET,Index,Get-ITGlueOrganizationStatus,Invoke-ExampleITGlueOrganizationStatus,YES,
OrganizationStatuses,/organization_statuses/:id,GET,Show,Get-ITGlueOrganizationStatus,Invoke-ExampleITGlueOrganizationStatus,YES,
OrganizationStatuses,/organization_statuses,POST,Create,New-ITGlueOrganizationStatus,Invoke-ExampleITGlueOrganizationStatus,YES,
OrganizationStatuses,/organization_statuses/:id,PATCH,Update,Set-ITGlueOrganizationStatus,Invoke-ExampleITGlueOrganizationStatus,YES,
OrganizationTypes,/organization_types,GET,Index,Get-ITGlueOrganizationType,Invoke-ExampleITGlueOrganizationType,YES,
OrganizationTypes,/organization_types/:id,GET,Show,Get-ITGlueOrganizationType,Invoke-ExampleITGlueOrganizationType,YES,
OrganizationTypes,/organization_types,POST,Create,New-ITGlueOrganizationType,Invoke-ExampleITGlueOrganizationType,YES,
OrganizationTypes,/organization_types/:id,PATCH,Update,Set-ITGlueOrganizationType,Invoke-ExampleITGlueOrganizationType,YES,
Organizations,/organizations,GET,Index,Get-ITGlueOrganization,Invoke-ExampleITGlueOrganization,YES,
Organizations,/organizations/:id,GET,Show,Get-ITGlueOrganization,Invoke-ExampleITGlueOrganization,YES,
Organizations,/organizations,POST,Create,New-ITGlueOrganization,Invoke-ExampleITGlueOrganization,YES,
Organizations,/organizations/:id,PATCH,Update,Set-ITGlueOrganization,Invoke-ExampleITGlueOrganization,YES,
Organizations,/organizations,PATCH,Bulk_update,Set-ITGlueOrganization,Invoke-ExampleITGlueOrganization,YES,
Organizations,/organizations,DELETE,Destroy,Remove-ITGlueOrganization,Invoke-ExampleITGlueOrganization,YES,
PasswordCategories,/password_categories,GET,Index,Get-ITGluePasswordCategory,Invoke-ExampleITGluePasswordCategory,YES,
PasswordCategories,/password_categories/:id,GET,Show,Get-ITGluePasswordCategory,Invoke-ExampleITGluePasswordCategory,YES,
PasswordCategories,/password_categories,POST,Create,New-ITGluePasswordCategory,Invoke-ExampleITGluePasswordCategory,YES,
PasswordCategories,/password_categories/:id,PATCH,Update,Set-ITGluePasswordCategory,Invoke-ExampleITGluePasswordCategory,YES,
Passwords,/passwords,GET,Index,Get-ITGluePassword,Invoke-ITGluePassword,YES,Need to validate
Passwords,/organizations/:organization_id/relationships/passwords,GET,Index,Get-ITGluePassword,Invoke-ITGluePassword,YES,Need to validate
Passwords,/passwords/:id,GET,Show,Get-ITGluePassword,Invoke-ITGluePassword,YES,Need to validate
Passwords,/organizations/:organization_id/relationships/passwords/:id,GET,Show,Get-ITGluePassword,Invoke-ITGluePassword,YES,Need to validate
Passwords,/passwords,POST,Create,New-ITGluePassword,Invoke-ITGluePassword,YES,Need to validate
Passwords,/organizations/:organization_id/relationships/passwords,POST,Create,New-ITGluePassword,Invoke-ITGluePassword,YES,Need to validate
Passwords,/passwords/:id,PATCH,Update,Set-ITGluePassword,Invoke-ITGluePassword,YES,Need to validate
Passwords,/organizations/:organization_id/relationships/passwords/:id,PATCH,Update,Set-ITGluePassword,Invoke-ITGluePassword,YES,Need to validate
Passwords,/passwords,PATCH,Bulk_update,Set-ITGluePassword,Invoke-ITGluePassword,YES,Need to validate
Passwords,/passwords,DELETE,Bulk_destroy,Remove-ITGluePassword,Invoke-ITGluePassword,YES,Need to validate
Passwords,/organizations/:organization_id/relationships/passwords/:id,DELETE,Bulk_destroy,Remove-ITGluePassword,Invoke-ITGluePassword,YES,Need to validate
Passwords,/passwords/:id,DELETE,Destroy,Remove-ITGluePassword,Invoke-ITGluePassword,YES,Need to validate
Platforms,/platforms,GET,Index,Get-ITGluePlatform,Invoke-ExampleITGluePlatform,YES,
Platforms,/platforms/:id,GET,Show,Get-ITGluePlatform,Invoke-ExampleITGluePlatform,YES,
Regions,/regions,GET,Index,Get-ITGlueRegion,Invoke-ExampleITGlueRegion,YES,
Regions,/countries/:country_id/relationships/regions,GET,Index,Get-ITGlueRegion,Invoke-ExampleITGlueRegion,YES,county_id does not appear to work
Regions,/regions/:id,GET,Show,Get-ITGlueRegion,Invoke-ExampleITGlueRegion,YES,
Regions,/countries/:country_id/relationships/regions/:id,GET,Show,Get-ITGlueRegion,Invoke-ExampleITGlueRegion,YES,county_id does not appear to work
RelatedItems,/:resource_type/:resource_id/relationships/related_items,POST,Create,New-ITGlueRelatedItem,Invoke-ExampleITGlueRelatedItem,YES,
RelatedItems,/:resource_type/:resource_id/relationships/related_items/:id,PATCH,Update,Set-ITGlueRelatedItem,Invoke-ExampleITGlueRelatedItem,YES,
RelatedItems,/:resource_type/:resource_id/relationships/related_items,DELETE,Bulk_destroy,Remove-ITGlueRelatedItem,Invoke-ExampleITGlueRelatedItem,YES,
UserMetrics,/user_metrics,GET,Index,Get-ITGlueUserMetric,Invoke-ExampleITGlueUserMetric,YES,
Users,/users,GET,Index,Get-ITGlueUser,Invoke-ExampleITGlueUser,YES,
Users,/users/:id,GET,Show,Get-ITGlueUser,Invoke-ExampleITGlueUser,YES,
Users,/users/:id,PATCH,Update,Set-ITGlueUser,Invoke-ExampleITGlueUser,YES,
